"","hbr","area_name","sex","year","age_group","population_size"
"381","S08000001","Ayrshire and Arran","Females",2013,"0-44 years",95065
"382","S08000001","Ayrshire and Arran","Females",2013,"45-64 years",56298
"383","S08000001","Ayrshire and Arran","Females",2013,"65-74 years",22667
"384","S08000001","Ayrshire and Arran","Females",2013,"75plus years",19969
"385","S08000001","Ayrshire and Arran","Females",2013,"All",193999
"386","S08000002","Borders","Females",2013,"0-44 years",26943
"387","S08000002","Borders","Females",2013,"45-64 years",17650
"388","S08000002","Borders","Females",2013,"65-74 years",7450
"389","S08000002","Borders","Females",2013,"75plus years",6526
"390","S08000002","Borders","Females",2013,"All",58569
"391","S08000003","Dumfries and Galloway","Females",2013,"0-44 years",35167
"392","S08000003","Dumfries and Galloway","Females",2013,"45-64 years",23140
"393","S08000003","Dumfries and Galloway","Females",2013,"65-74 years",10038
"394","S08000003","Dumfries and Galloway","Females",2013,"75plus years",8955
"395","S08000003","Dumfries and Galloway","Females",2013,"All",77300
"396","S08000004","Fife","Females",2013,"0-44 years",98354
"397","S08000004","Fife","Females",2013,"45-64 years",52387
"398","S08000004","Fife","Females",2013,"65-74 years",20370
"399","S08000004","Fife","Females",2013,"75plus years",17818
"400","S08000004","Fife","Females",2013,"All",188929
"401","S08000005","Forth Valley","Females",2013,"0-44 years",81821
"402","S08000005","Forth Valley","Females",2013,"45-64 years",42665
"403","S08000005","Forth Valley","Females",2013,"65-74 years",15804
"404","S08000005","Forth Valley","Females",2013,"75plus years",13589
"405","S08000005","Forth Valley","Females",2013,"All",153879
"406","S08000006","Grampian","Females",2013,"0-44 years",160615
"407","S08000006","Grampian","Females",2013,"45-64 years",78102
"408","S08000006","Grampian","Females",2013,"65-74 years",27640
"409","S08000006","Grampian","Females",2013,"75plus years",25658
"410","S08000006","Grampian","Females",2013,"All",292015
"411","S08000007","Greater Glasgow and Clyde","Females",2013,"0-44 years",326117
"412","S08000007","Greater Glasgow and Clyde","Females",2013,"45-64 years",157225
"413","S08000007","Greater Glasgow and Clyde","Females",2013,"65-74 years",52785
"414","S08000007","Greater Glasgow and Clyde","Females",2013,"75plus years",53949
"415","S08000007","Greater Glasgow and Clyde","Females",2013,"All",590076
"416","S08000008","Highland","Females",2013,"0-44 years",77828
"417","S08000008","Highland","Females",2013,"45-64 years",48826
"418","S08000008","Highland","Females",2013,"65-74 years",19629
"419","S08000008","Highland","Females",2013,"75plus years",17214
"420","S08000008","Highland","Females",2013,"All",163497
"421","S08000009","Lanarkshire","Females",2013,"0-44 years",180037
"422","S08000009","Lanarkshire","Females",2013,"45-64 years",95120
"423","S08000009","Lanarkshire","Females",2013,"65-74 years",33308
"424","S08000009","Lanarkshire","Females",2013,"75plus years",29210
"425","S08000009","Lanarkshire","Females",2013,"All",337675
"426","S08000010","Lothian","Females",2013,"0-44 years",251551
"427","S08000010","Lothian","Females",2013,"45-64 years",110227
"428","S08000010","Lothian","Females",2013,"65-74 years",38295
"429","S08000010","Lothian","Females",2013,"75plus years",36699
"430","S08000010","Lothian","Females",2013,"All",436772
"431","S08000011","Orkney","Females",2013,"0-44 years",5205
"432","S08000011","Orkney","Females",2013,"45-64 years",3196
"433","S08000011","Orkney","Females",2013,"65-74 years",1345
"434","S08000011","Orkney","Females",2013,"75plus years",1091
"435","S08000011","Orkney","Females",2013,"All",10837
"436","S08000012","Shetland","Females",2013,"0-44 years",6049
"437","S08000012","Shetland","Females",2013,"45-64 years",3213
"438","S08000012","Shetland","Females",2013,"65-74 years",1160
"439","S08000012","Shetland","Females",2013,"75plus years",1007
"440","S08000012","Shetland","Females",2013,"All",11429
"441","S08000013","Tayside","Females",2013,"0-44 years",108577
"442","S08000013","Tayside","Females",2013,"45-64 years",57600
"443","S08000013","Tayside","Females",2013,"65-74 years",23098
"444","S08000013","Tayside","Females",2013,"75plus years",22887
"445","S08000013","Tayside","Females",2013,"All",212162
"446","S08000014","Western Isles","Females",2013,"0-44 years",6356
"447","S08000014","Western Isles","Females",2013,"45-64 years",4055
"448","S08000014","Western Isles","Females",2013,"65-74 years",1721
"449","S08000014","Western Isles","Females",2013,"75plus years",1749
"450","S08000014","Western Isles","Females",2013,"All",13881
"451","S92000003","Scotland","All",2014,"0-44 years",2906374
"452","S92000003","Scotland","All",2014,"45-64 years",1472776
"453","S92000003","Scotland","All",2014,"65-74 years",535212
"454","S92000003","Scotland","All",2014,"75plus years",433238
"455","S92000003","Scotland","All",2014,"All",5347600
"456","S08000001","Ayrshire and Arran","All",2014,"0-44 years",184963
"457","S08000001","Ayrshire and Arran","All",2014,"45-64 years",108095
"458","S08000001","Ayrshire and Arran","All",2014,"65-74 years",44055
"459","S08000001","Ayrshire and Arran","All",2014,"75plus years",34027
"460","S08000001","Ayrshire and Arran","All",2014,"All",371140
"461","S08000002","Borders","All",2014,"0-44 years",52762
"462","S08000002","Borders","All",2014,"45-64 years",34948
"463","S08000002","Borders","All",2014,"65-74 years",14762
"464","S08000002","Borders","All",2014,"75plus years",11568
"465","S08000002","Borders","All",2014,"All",114040
"466","S08000003","Dumfries and Galloway","All",2014,"0-44 years",69013
"467","S08000003","Dumfries and Galloway","All",2014,"45-64 years",45162
"468","S08000003","Dumfries and Galloway","All",2014,"65-74 years",19886
"469","S08000003","Dumfries and Galloway","All",2014,"75plus years",15899
"470","S08000003","Dumfries and Galloway","All",2014,"All",149960
"471","S08000004","Fife","All",2014,"0-44 years",193406
"472","S08000004","Fife","All",2014,"45-64 years",102767
"473","S08000004","Fife","All",2014,"65-74 years",40268
"474","S08000004","Fife","All",2014,"75plus years",30809
